Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
LMAT,"LeMaitre Vascular, Inc.",35.12,683504948.32,,2006.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/lmat,
TREE,"LendingTree, Inc.",231.3,2964536248.5,,,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/tree,
LEVL,"Level One Bancorp, Inc.",28.21,218602562.36,,2018.0,Finance,Major Banks,https://www.nasdaq.com/symbol/levl,
LXRX,"Lexicon Pharmaceuticals, Inc.",10.75,1138195100.5,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/lxrx,
LX,LexinFintech Holdings Ltd.,10.15,453872921.6,44716544.0,2017.0,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/lx,
LFAC,LF Capital Acquistion Corp.,9.6,46622995.2,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/lfac,
LFACU,LF Capital Acquistion Corp.,10.115,0.0,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/lfacu,
LFACW,LF Capital Acquistion Corp.,0.58,0.0,,2018.0,Finance,Business Services,https://www.nasdaq.com/symbol/lfacw,
LGIH,"LGI Homes, Inc.",48.96,1108111239.36,,2013.0,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/lgih,
LHCG,LHC Group,96.04,3009235726.0,,2005.0,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/lhcg,
LLIT,Lianluo Smart Limited,1.72,30283327.92,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/llit,
LBRDA,Liberty Broadband Corporation,84.56,15334882601.92,,,Consumer Services,Television Services,https://www.nasdaq.com/symbol/lbrda,
LBRDK,Liberty Broadband Corporation,84.42,15309493723.44,,,Consumer Services,Television Services,https://www.nasdaq.com/symbol/lbrdk,
LEXEA,"Liberty Expedia Holdings, Inc.",47.69,2731538651.61,,,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/lexea,
LEXEB,"Liberty Expedia Holdings, Inc.",46.5092,2663906006.6148,,,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/lexeb,
LBTYA,Liberty Global plc,28.58,21999633396.36,,,Consumer Services,Television Services,https://www.nasdaq.com/symbol/lbtya,
LBTYB,Liberty Global plc,28.3,21784101648.6,,,Consumer Services,Television Services,https://www.nasdaq.com/symbol/lbtyb,
LBTYK,Liberty Global plc,27.62,21260667404.04,,,Consumer Services,Television Services,https://www.nasdaq.com/symbol/lbtyk,
LILA,Liberty Latin America Ltd.,21.47,3679181644.8,,,Consumer Services,Television Services,https://www.nasdaq.com/symbol/lila,
LILAK,Liberty Latin America Ltd.,21.49,3682608921.6,,,Consumer Services,Television Services,https://www.nasdaq.com/symbol/lilak,
BATRA,Liberty Media Corporation,26.34,0.0,,,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/batra,
BATRK,Liberty Media Corporation,26.37,1343928591.0,,,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/batrk,
FWONA,Liberty Media Corporation,35.94,0.0,,,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/fwona,
FWONK,Liberty Media Corporation,37.74,8715044738.16,,,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/fwonk,
LSXMA,Liberty Media Corporation,46.53,0.0,,,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/lsxma,
LSXMB,Liberty Media Corporation,47.1044,0.0,,,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/lsxmb,
LSXMK,Liberty Media Corporation,46.65,15418469563.05,,,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/lsxmk,
LTRPA,"Liberty TripAdvisor Holdings, Inc.",14.7,1103370930.9,,,Technology,EDP Services,https://www.nasdaq.com/symbol/ltrpa,
LTRPB,"Liberty TripAdvisor Holdings, Inc.",14.4,1080853156.8,,,Technology,EDP Services,https://www.nasdaq.com/symbol/ltrpb,
