Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
IIPR,"Innovative Industrial Properties, Inc.",44.0,155124816.0,,2016.0,Finance,Real Estate,https://www.nasdaq.com/symbol/iipr,
IIPR^A,"Innovative Industrial Properties, Inc.",28.74,0.0,,,,,https://www.nasdaq.com/symbol/iipr^a,
IPHI,Inphi Corporation,37.01,1622906782.94,,2010.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/iphi,
INSI,Insight Select Income Fund,18.62,199420851.7,,,,,https://www.nasdaq.com/symbol/insi,
NSP,"Insperity, Inc.",116.3,4875739684.5,,,Technology,Professional Services,https://www.nasdaq.com/symbol/nsp,
INSP,"Inspire Medical Systems, Inc.",44.19,943625747.7,,1998.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/insp,
IBP,"Installed Building Products, Inc.",47.55,1502881894.95,,2014.0,Basic Industries,Homebuilding,https://www.nasdaq.com/symbol/ibp,
INST,"Instructure, Inc.",39.45,1374016082.25,,2015.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/inst,
ITGR,Integer Holdings Corporation,81.1,2608658788.3,,,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/itgr,
I,Intelsat S.A.,22.16,3029272000.0,,2013.0,Consumer Services,Telecommunications Equipment,https://www.nasdaq.com/symbol/i,
ICE,Intercontinental Exchange Inc.,77.58,44487206928.36,,2005.0,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ice,
IHG,Intercontinental Hotels Group,61.77,11777682132.03,,,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/ihg,
IBM,International Business Machines Corporation,149.06,136057226252.34,,,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/ibm,
IFF,"International Flavors & Fragrances, Inc.",137.51,12611867160.0,,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/iff,
IFFT,"International Flavors & Fragrances, Inc.",53.15,0.0,,,,,https://www.nasdaq.com/symbol/ifft,
IGT,International Game Technology,20.19,4122819724.44,,2015.0,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/igt,
IP,International Paper Company,54.22,22169368684.3,,,Basic Industries,Paper,https://www.nasdaq.com/symbol/ip,
